year,mode,staff_flag,proximity,epistemic_source,n_turns
2008,live,guest,institutional,lexicon,43
2008,live,guest,institutional,name_title,4
2008,live,guest,unresolved,sector_default,955
2008,live,staff,commentary,sector_default,3041
2008,live,staff,commentary,lexicon,305
2008,live,staff,commentary,form,57
2008,live,staff,direct,lexicon,109
2008,live,staff,direct,sector_default,409
2008,live,staff,expert,lexicon,539
2008,live,staff,expert,topic_needed,16
2008,live,staff,institutional,name_title,1
2008,live,staff,unresolved,sector_default,9637
2009,clip,guest,commentary,form,54
2009,clip,guest,commentary,lexicon,102
2009,clip,guest,commentary,sector_default,131
2009,clip,guest,commentary,standing_rule,106
2009,clip,guest,direct,sector_default,163
2009,clip,guest,direct,lexicon,1614
2009,clip,guest,direct,name_title,48
2009,clip,guest,expert,name_title,44
2009,clip,guest,expert,lexicon,132
2009,clip,guest,expert,topic_needed,10
2009,clip,guest,expert,sector_default,36
2009,clip,guest,institutional,name_title,12
2009,clip,guest,institutional,lexicon,69
2009,clip,guest,institutional,sector_default,50
2009,clip,guest,unresolved,sector_default,961
2009,clip,staff,commentary,sector_default,1999
2009,clip,staff,commentary,lexicon,8
2009,clip,staff,commentary,form,9
2009,clip,staff,direct,sector_default,69
2009,clip,staff,direct,lexicon,23
2009,clip,staff,expert,lexicon,33
2009,clip,staff,unresolved,sector_default,1021
2009,live,guest,commentary,form,126
2009,live,guest,commentary,sector_default,352
2009,live,guest,commentary,lexicon,901
2009,live,guest,commentary,standing_rule,56
2009,live,guest,direct,lexicon,1206
2009,live,guest,direct,sector_default,156
2009,live,guest,direct,name_title,6
2009,live,guest,expert,lexicon,437
2009,live,guest,expert,name_title,13
2009,live,guest,expert,topic_needed,36
2009,live,guest,expert,sector_default,23
2009,live,guest,institutional,sector_default,45
2009,live,guest,institutional,name_title,3
2009,live,guest,institutional,lexicon,116
2009,live,guest,unresolved,sector_default,1122
2009,live,staff,commentary,sector_default,2615
2009,live,staff,commentary,lexicon,193
2009,live,staff,commentary,form,31
2009,live,staff,commentary,standing_rule,7
2009,live,staff,direct,lexicon,136
2009,live,staff,direct,sector_default,75
2009,live,staff,expert,lexicon,474
2009,live,staff,expert,name_title,16
2009,live,staff,unresolved,sector_default,11804
2010,clip,guest,commentary,lexicon,137
2010,clip,guest,commentary,form,43
2010,clip,guest,commentary,standing_rule,76
2010,clip,guest,commentary,sector_default,102
2010,clip,guest,direct,lexicon,1479
2010,clip,guest,direct,sector_default,133
2010,clip,guest,direct,name_title,15
2010,clip,guest,expert,sector_default,83
2010,clip,guest,expert,name_title,17
2010,clip,guest,expert,lexicon,116
2010,clip,guest,expert,topic_needed,7
2010,clip,guest,institutional,sector_default,44
2010,clip,guest,institutional,lexicon,50
2010,clip,guest,institutional,name_title,10
2010,clip,guest,unresolved,sector_default,1009
2010,clip,staff,commentary,sector_default,1227
2010,clip,staff,commentary,lexicon,39
2010,clip,staff,commentary,form,11
2010,clip,staff,commentary,standing_rule,16
2010,clip,staff,direct,sector_default,30
2010,clip,staff,direct,lexicon,20
2010,clip,staff,expert,lexicon,50
2010,clip,staff,unresolved,sector_default,1469
2010,live,guest,commentary,form,302
2010,live,guest,commentary,standing_rule,189
2010,live,guest,commentary,sector_default,327
2010,live,guest,commentary,lexicon,738
2010,live,guest,direct,lexicon,1645
2010,live,guest,direct,sector_default,128
2010,live,guest,direct,name_title,5
2010,live,guest,expert,lexicon,552
2010,live,guest,expert,name_title,12
2010,live,guest,expert,sector_default,20
2010,live,guest,expert,topic_needed,21
2010,live,guest,institutional,sector_default,109
2010,live,guest,institutional,lexicon,31
2010,live,guest,institutional,name_title,9
2010,live,guest,unresolved,sector_default,1169
2010,live,staff,commentary,sector_default,2434
2010,live,staff,commentary,lexicon,293
2010,live,staff,commentary,form,45
2010,live,staff,direct,lexicon,50
2010,live,staff,direct,sector_default,127
2010,live,staff,expert,lexicon,644
2010,live,staff,expert,name_title,4
2010,live,staff,unresolved,sector_default,11796
2011,clip,guest,commentary,sector_default,92
2011,clip,guest,commentary,lexicon,191
2011,clip,guest,commentary,form,57
2011,clip,guest,commentary,standing_rule,46
2011,clip,guest,direct,lexicon,1571
2011,clip,guest,direct,name_title,15
2011,clip,guest,direct,sector_default,108
2011,clip,guest,expert,lexicon,81
2011,clip,guest,expert,name_title,14
2011,clip,guest,expert,sector_default,63
2011,clip,guest,expert,topic_needed,5
2011,clip,guest,institutional,lexicon,29
2011,clip,guest,institutional,sector_default,53
2011,clip,guest,institutional,name_title,8
2011,clip,guest,unresolved,sector_default,937
2011,clip,staff,commentary,sector_default,1345
2011,clip,staff,commentary,form,21
2011,clip,staff,commentary,lexicon,35
2011,clip,staff,direct,sector_default,23
2011,clip,staff,direct,lexicon,23
2011,clip,staff,expert,lexicon,29
2011,clip,staff,expert,name_title,2
2011,clip,staff,unresolved,sector_default,1397
2011,live,guest,commentary,lexicon,1037
2011,live,guest,commentary,sector_default,315
2011,live,guest,commentary,form,182
2011,live,guest,commentary,standing_rule,104
2011,live,guest,direct,lexicon,1667
2011,live,guest,direct,sector_default,106
2011,live,guest,direct,name_title,6
2011,live,guest,expert,lexicon,639
2011,live,guest,expert,sector_default,13
2011,live,guest,expert,name_title,13
2011,live,guest,expert,topic_needed,44
2011,live,guest,institutional,sector_default,24
2011,live,guest,institutional,lexicon,39
2011,live,guest,institutional,name_title,1
2011,live,guest,unresolved,sector_default,1389
2011,live,staff,commentary,sector_default,2075
2011,live,staff,commentary,lexicon,374
2011,live,staff,commentary,form,22
2011,live,staff,direct,sector_default,208
2011,live,staff,direct,lexicon,91
2011,live,staff,expert,name_title,7
2011,live,staff,expert,lexicon,282
2011,live,staff,unresolved,sector_default,12430
2012,clip,guest,commentary,standing_rule,92
2012,clip,guest,commentary,sector_default,78
2012,clip,guest,commentary,lexicon,107
2012,clip,guest,commentary,form,31
2012,clip,guest,direct,lexicon,1617
2012,clip,guest,direct,sector_default,94
2012,clip,guest,direct,name_title,33
2012,clip,guest,expert,lexicon,62
2012,clip,guest,expert,name_title,6
2012,clip,guest,expert,sector_default,35
2012,clip,guest,expert,topic_needed,11
2012,clip,guest,institutional,lexicon,32
2012,clip,guest,institutional,sector_default,87
