year,mode,n_guest_turns,office_coverage,executive_share,academic_share,business_share,cabinet_secretary_share,candidate_share,diplomat_share,entertainment_share,governor_share,journalist_share,judiciary_share,mayor_share,military_share,president_share,press_secretary_share,religious_share,representative_share,senator_share,spokesperson_share,vice_president_share
2005,live,180560,0.03582742578644216,0.005865086397873283,0.0024977846699158176,0.0018498006202924235,0.0012461231723526805,8.861320336730173e-05,0.0010301284891448825,0.008999778466991583,0.0001716880815241471,0.007925343376163048,0.002370403190075321,0.0007310589277802393,0.002337173238812583,0.00418143553389455,0.00013845813026140894,0.00046521931767833406,0.00018830305715551618,0.00014953478068232165,0.0011575099689853788,0.0002990695613646433
2006,live,160887,0.045454262929882416,0.008589879853561817,0.002641605598960761,0.0026540366841323413,0.001877093860908588,0.0002113284479168609,0.002492432576901801,0.010442111544127245,0.00013052639430159057,0.010305369607239864,0.00236190618260021,0.0005034589494489921,0.002560803545345491,0.005724514721512614,0.0005966920882358426,0.00024240616084581103,0.0004910278642774121,0.0003045615867037113,0.0015228079335185564,0.00039157918290477165
2007,live,165133,0.044866864890724445,0.008496181865526576,0.0031550326100779373,0.002900692169342288,0.001023417487722018,6.661297257362247e-05,0.0012474793045605663,0.010343177923249744,0.0003088419637504315,0.010549072565750032,0.002258785342723744,0.00047840225757419776,0.0027069089764008404,0.006376678192729497,0.0005207923310301393,0.00038151066110347415,0.00026039616551506967,0.0004662908080153573,0.0012474793045605663,0.0005752938540449213
2008,live,150008,0.054817076422590816,0.012312676657244948,0.0034264839208575544,0.004646418857660925,0.001059943469681617,0.0001599914671217535,0.0005533038237960642,0.0122993440349848,0.000419977601194603,0.015312516665777825,0.001899898672070823,0.00047330809023518746,0.0011532718255026398,0.009226174604021118,0.0014199242707055623,0.0002866513785931417,0.00022665457842248413,0.00035331448989387235,0.0012932643592341742,0.0006066343128366487
2009,live,179921,0.05202283224304005,0.009954368861889384,0.0037127405917041366,0.004257424091684684,0.0012005268979163077,3.890596428432479e-05,0.0008114672550730599,0.012472140550574974,0.00022787779080818803,0.01317244790769282,0.0028512513825512307,0.0005780314693671112,0.002039784127478171,0.00699195758138294,0.0011282729642454188,0.00023899378060370942,0.00042796560712757265,0.00026122576019475217,0.0009782071020058803,0.000633611418344718
2010,live,210756,0.04738180644916401,0.007691358727628158,0.0033735694357456014,0.004061568828408206,0.0007923855074114142,0.00019453775930459869,0.0009821784433183397,0.013437339862210329,0.0002989238740534077,0.011985423902522349,0.0021778739395319708,0.0002941790506557346,0.0014661504298809998,0.005992711951261174,0.0004412685759836019,0.00021826187629296438,0.0003700962250185048,0.00025147564007667637,0.0005788684545161229,0.0004649926929719676
2011,live,217947,0.04451540970970003,0.00766241333902279,0.003110848050214043,0.004101914685680464,0.00097271354962445,3.670617168394151e-05,0.0011975388511885918,0.01172303358155882,0.0002385901159456198,0.010782437932157819,0.002766727690677091,0.0003028259163925174,0.001252598108714504,0.005772045497299802,0.0005597691181801081,0.00014223641527527335,0.00046800368897025426,0.00014223641527527335,0.0005872987469430641,0.0003578851739184297
2012,live,188253,0.054894211513229485,0.009731584622821416,0.003654656233897999,0.005678528363425815,0.0010145920649338922,0.00010092800645939241,0.0010570880676536362,0.014491136927432764,0.0004727680302571539,0.013094080838021174,0.0027038081730437233,0.0006002560384163865,0.001211136077512709,0.007388992472895518,0.000733056046915587,0.00032403202073804933,0.0003930880251576336,0.0002921600186982412,0.0010889600696934445,0.0005949440380764185
2013,live,193693,0.04967655000438842,0.008255331891188633,0.003428105300656193,0.004150898586939125,0.001187446113179103,4.646528268961707e-05,0.0012752138693706019,0.012922511396901282,0.00027879169613770246,0.01019654814577708,0.004940808392662616,0.0006608395760301095,0.001523028710381893,0.005751369435137047,0.0007847469965357551,0.0004285131625820241,0.00036655945232920136,0.00019618674913393877,0.00100674779160837,0.0005317693463367287
2014,live,178016,0.060281098328240135,0.009010426029120978,0.004634414884055366,0.0039041434477799747,0.0012302264964946972,3.932230810713644e-05,0.0033592486068667986,0.016874887650548266,0.0003595182455509617,0.011965216609742944,0.0025559500269638686,0.000578599676433579,0.004381628617652346,0.0063084217149020315,0.0007246539636886572,0.0003707531907244293,0.00032581341003055903,0.00024716879381628617,0.0016740068308466656,0.0007471238540355923
2015,live,159409,0.05906818310133055,0.011523816095703505,0.004027376120545264,0.004579415214950222,0.001229541619356498,5.645854374596165e-05,0.0023210734651117567,0.014252645710091652,0.0005959512950962618,0.011185064833227735,0.0023273466366390857,0.000790419612443463,0.0032181369935198136,0.008763620623678713,0.0007590537548068177,0.000871970842298741,0.0006398634957875654,0.0006022244666235908,0.0020764197755459225,0.0007716000978614759
2016,live,177143,0.07153542618110786,0.017014502407659348,0.005690317991679039,0.0059274145746656655,0.001320966676639777,0.00021451595603551933,0.0017161276482841547,0.013017731437313357,0.0012419344823109014,0.017358856968663735,0.0013322569901153306,0.001315321519902,0.0014677407518219744,0.013181440982708886,0.001473385908559751,0.00033306424752883266,0.0009879024291109442,0.0010612894667020429,0.002856449309315073,0.0010387088397509356
